description,merchant,amount,category
Swiggy food delivery bangalore biryani,Swiggy,450,Food & Dining
Zomato restaurant dinner pizza,Zomato,680,Food & Dining
McDonald burger meal combo,McDonalds,350,Food & Dining
Starbucks coffee latte morning,Starbucks,320,Food & Dining
KFC chicken bucket family meal,KFC,750,Food & Dining
BigBasket grocery vegetables fruits,BigBasket,2500,Groceries
DMart weekly shopping household,DMart,3200,Groceries
Blinkit instant delivery milk bread,Blinkit,650,Groceries
Supermarket monthly groceries atta,Supermarket,2800,Groceries
Uber ride airport cab,Uber,650,Transportation
Ola cab office commute,Ola,280,Transportation
Petrol pump fuel car,IOCL,2500,Transportation
Metro card recharge travel,Metro,800,Transportation
Amazon online electronics order,Amazon,3500,Shopping
Flipkart mobile phone purchase,Flipkart,18000,Shopping
Myntra clothing fashion,Myntra,2200,Shopping
Nykaa beauty cosmetics,Nykaa,1500,Shopping
Netflix subscription streaming,Netflix,649,Entertainment
BookMyShow movie tickets,BookMyShow,600,Entertainment
Spotify music premium,Spotify,119,Entertainment
Electricity bill payment monthly,BSES,1800,Bills & Utilities
Mobile recharge Airtel prepaid,Airtel,499,Bills & Utilities
Internet broadband bill,Jio,999,Bills & Utilities
Gym membership monthly fitness,Fitness First,3000,Health & Fitness
Doctor consultation medical,Clinic,800,Health & Fitness
Apollo pharmacy medicines,Apollo,950,Health & Fitness
Udemy course online learning,Udemy,499,Education
Book store textbooks purchase,Crossword,1200,Education
Tuition fees coaching,Coaching,8000,Education
Swiggy food delivery bangalore biryani,Swiggy,450,Food & Dining
Zomato restaurant dinner pizza,Zomato,680,Food & Dining
McDonald burger meal combo,McDonalds,350,Food & Dining
Starbucks coffee latte morning,Starbucks,320,Food & Dining
KFC chicken bucket family meal,KFC,750,Food & Dining
BigBasket grocery vegetables fruits,BigBasket,2500,Groceries
DMart weekly shopping household,DMart,3200,Groceries
Blinkit instant delivery milk bread,Blinkit,650,Groceries
Supermarket monthly groceries atta,Supermarket,2800,Groceries
Uber ride airport cab,Uber,650,Transportation
Ola cab office commute,Ola,280,Transportation
Petrol pump fuel car,IOCL,2500,Transportation
Metro card recharge travel,Metro,800,Transportation
Amazon online electronics order,Amazon,3500,Shopping
Flipkart mobile phone purchase,Flipkart,18000,Shopping
Myntra clothing fashion,Myntra,2200,Shopping
Nykaa beauty cosmetics,Nykaa,1500,Shopping
Netflix subscription streaming,Netflix,649,Entertainment
BookMyShow movie tickets,BookMyShow,600,Entertainment
Spotify music premium,Spotify,119,Entertainment
Electricity bill payment monthly,BSES,1800,Bills & Utilities
Mobile recharge Airtel prepaid,Airtel,499,Bills & Utilities
Internet broadband bill,Jio,999,Bills & Utilities
Gym membership monthly fitness,Fitness First,3000,Health & Fitness
Doctor consultation medical,Clinic,800,Health & Fitness
Apollo pharmacy medicines,Apollo,950,Health & Fitness
Udemy course online learning,Udemy,499,Education
Book store textbooks purchase,Crossword,1200,Education
Tuition fees coaching,Coaching,8000,Education
Swiggy food delivery bangalore biryani,Swiggy,450,Food & Dining
Zomato restaurant dinner pizza,Zomato,680,Food & Dining
McDonald burger meal combo,McDonalds,350,Food & Dining
Starbucks coffee latte morning,Starbucks,320,Food & Dining
KFC chicken bucket family meal,KFC,750,Food & Dining
BigBasket grocery vegetables fruits,BigBasket,2500,Groceries
DMart weekly shopping household,DMart,3200,Groceries
Blinkit instant delivery milk bread,Blinkit,650,Groceries
Supermarket monthly groceries atta,Supermarket,2800,Groceries
Uber ride airport cab,Uber,650,Transportation
Ola cab office commute,Ola,280,Transportation
Petrol pump fuel car,IOCL,2500,Transportation
Metro card recharge travel,Metro,800,Transportation
Amazon online electronics order,Amazon,3500,Shopping
Flipkart mobile phone purchase,Flipkart,18000,Shopping
Myntra clothing fashion,Myntra,2200,Shopping
Nykaa beauty cosmetics,Nykaa,1500,Shopping
Netflix subscription streaming,Netflix,649,Entertainment
BookMyShow movie tickets,BookMyShow,600,Entertainment
Spotify music premium,Spotify,119,Entertainment
Electricity bill payment monthly,BSES,1800,Bills & Utilities
Mobile recharge Airtel prepaid,Airtel,499,Bills & Utilities
Internet broadband bill,Jio,999,Bills & Utilities
Gym membership monthly fitness,Fitness First,3000,Health & Fitness
Doctor consultation medical,Clinic,800,Health & Fitness
Apollo pharmacy medicines,Apollo,950,Health & Fitness
Udemy course online learning,Udemy,499,Education
Book store textbooks purchase,Crossword,1200,Education
Tuition fees coaching,Coaching,8000,Education
