description,merchant,amount,category
Swiggy food delivery order lunch biryani chicken,Swiggy,450,Food & Dining
Zomato dinner order pizza pasta italian restaurant,Zomato,680,Food & Dining
McDonald's Connaught Place burger meal fries combo,McDonalds,350,Food & Dining
Domino's Pizza party order large pepperoni cheese,Dominos,899,Food & Dining
Starbucks coffee latte cappuccino morning beverage,Starbucks,320,Food & Dining
Restaurant bill payment dinner celebration party,The Yellow Chilli,2500,Food & Dining
Cafe Coffee Day CCD breakfast sandwich beverage,CCD,180,Food & Dining
Food court mall lunch chinese noodles fried rice,Food Court,420,Food & Dining
KFC chicken bucket meal family wings popcorn,KFC,750,Food & Dining
Subway sandwich meal combo salad healthy lunch,Subway,280,Food & Dining
Haldirams restaurant snacks samosa chaat pakora,Haldirams,520,Food & Dining
Biryani Blues order chicken hyderabadi dum biryani,Biryani Blues,380,Food & Dining
Pizza Hut dine in family meal stuffed crust,Pizza Hut,1200,Food & Dining
Barbeque Nation buffet dinner unlimited grill kebab,Barbeque Nation,1800,Food & Dining
Street food vendor pani puri chaat evening snack,Street Vendor,150,Food & Dining
Cafe breakfast brunch eggs toast coffee croissant,Cafe Lota,450,Food & Dining
Burger King whopper combo meal large onion rings,Burger King,340,Food & Dining
Chaayos tea adda masala chai kulhad beverage,Chaayos,200,Food & Dining
Baskin Robbins ice cream dessert sundae chocolate,Baskin Robbins,280,Food & Dining
Bakery fresh bread pastries cake purchase morning,Theobroma,320,Food & Dining
Dunkin Donuts coffee donuts breakfast takeaway,Dunkin Donuts,390,Food & Dining
Taco Bell mexican food burrito quesadilla nachos,Taco Bell,460,Food & Dining
Wow Momo momos dumplings chinese tibetan food,Wow Momo,250,Food & Dining
Behrouz Biryani order mutton rice dinner family,Behrouz Biryani,650,Food & Dining
Faasos wrap roll lunch office order online,Faasos,320,Food & Dining
BigBasket grocery shopping vegetables fruits milk bread eggs,BigBasket,2500,Groceries
Blinkit instant delivery vegetables milk bread 10min,Blinkit,650,Groceries
DMart weekly shopping household items detergent rice dal atta,DMart,3200,Groceries
Reliance Fresh grocery vegetables fruits dairy products,Reliance Fresh,1800,Groceries
Supermarket monthly groceries atta oil pulses sugar tea,Supermarket,2800,Groceries
Vegetable market fresh produce organic tomato onion potato,Local Market,600,Groceries
More Megastore grocery shopping pantry staples household,More,2200,Groceries
Grofers vegetables fruits dairy milk curd paneer butter,Grofers,1400,Groceries
Zepto instant delivery midnight groceries snacks beverages,Zepto,850,Groceries
Spencer's store household groceries cleaning supplies,Spencers,1900,Groceries
Nature's Basket organic grocery healthy food premium,Nature Basket,2400,Groceries
Grocery store fruits vegetables dairy daily essentials,Grocery Store,950,Groceries
Milk booth daily fresh milk delivery subscription,Milk Booth,300,Groceries
Kirana store monthly ration flour sugar tea coffee,Kirana Shop,1600,Groceries
Wholesale market bulk groceries wholesale rate discount,Wholesale Market,4500,Groceries
Dunzo delivery grocery vegetables emergency order quick,Dunzo,480,Groceries
JioMart online grocery order vegetables fruits staples,JioMart,1950,Groceries
Vegetable vendor fresh produce daily purchase market,Vegetable Vendor,350,Groceries
Bread bakery fresh bread pav buns daily morning,Bakery,120,Groceries
Fruit shop fresh fruits apple banana orange seasonal,Fruit Shop,850,Groceries
Uber ride to airport cab booking taxi hire,Uber,650,Transportation
Ola cab office commute daily ride work travel,Ola,280,Transportation
Petrol pump fuel filling car tank gasoline IOCL,IOCL Petrol Pump,2500,Transportation
Metro card recharge travel public transport DMRC,Delhi Metro,800,Transportation
Rapido bike ride quick trip short distance two wheeler,Rapido,120,Transportation
Parking charges mall underground parking vehicle fee,Mall Parking,80,Transportation
Toll plaza payment highway expressway FASTag electronic,FASTag Toll,150,Transportation
Auto rickshaw local ride short distance commute,Auto Rickshaw,60,Transportation
Bus pass monthly travel card public transport BMTC,BMTC,1200,Transportation
Train ticket booking railway journey IRCTC reservation,IRCTC,850,Transportation
Diesel fuel station vehicle refuel pump filling,HP Diesel Pump,3200,Transportation
Car service maintenance workshop oil change repair,Service Center,4500,Transportation
Bike petrol motorcycle refuel two wheeler fuel pump,Bharat Petroleum,450,Transportation
Meru cab airport premium taxi comfortable ride,Meru Cabs,720,Transportation
Yulu cycle rental eco friendly bike ride short,Yulu,40,Transportation
BluSmart electric cab eco ride airport booking,BluSmart,580,Transportation
Namma Yatri auto ride local bangalore transport,Namma Yatri,95,Transportation
Vogo bike rental scooter hourly self drive,Vogo,180,Transportation
Bounce scooter rental dockless electric vehicle,Bounce,150,Transportation
Revv car rental self drive weekend trip vehicle,Revv,2800,Transportation
Electricity bill payment monthly BSES power consumption,BSES,1800,Bills & Utilities
Mobile recharge Airtel prepaid plan data calling unlimited,Airtel,499,Bills & Utilities
Jio broadband fiber internet bill monthly connection,Jio Fiber,999,Bills & Utilities
Water bill municipal corporation monthly charges,Water Authority,450,Bills & Utilities
Gas cylinder booking HP gas LPG domestic refill,HP Gas,950,Bills & Utilities
Internet bill ACT Fibernet broadband monthly subscription,ACT Fibernet,799,Bills & Utilities
DTH recharge Tata Sky television channels package,Tata Sky,350,Bills & Utilities
Phone bill postpaid Vodafone mobile monthly plan,Vodafone,650,Bills & Utilities
WiFi broadband internet connection monthly bill payment,Hathway,899,Bills & Utilities
Society maintenance charges apartment residential monthly,Housing Society,3500,Bills & Utilities
Piped gas bill IGL natural gas monthly consumption,IGL,850,Bills & Utilities
Landline telephone BSNL fixed line monthly charges,BSNL,280,Bills & Utilities
Mobile postpaid bill Vi unlimited calling data,Vi Postpaid,549,Bills & Utilities
Cable TV subscription monthly channels package entertainment,Cable TV,250,Bills & Utilities
Electricity prepaid recharge meter power units purchase,BSES Prepaid,1200,Bills & Utilities
Sewage charges municipal monthly bill drainage,Municipality,320,Bills & Utilities
Property tax annual payment house residential,Municipal Corp,8500,Bills & Utilities
